outcome,nobs,n_firms,coef_post_bnpl,se_cluster_firm,t_stat,p_value_normal,status
revenue_growth_yoy,665,16,-0.042921467153604766,0.04630250111467679,-0.9269794529522657,0.3539372025210815,ok
gross_margin,478,12,0.02166745601915463,0.01376370212966232,1.5742462176988585,0.11543053819240792,ok
operating_margin,676,16,0.0247259438810824,0.0619486836594476,0.3991359044367931,0.6897930678906002,ok
net_margin,706,16,0.026004069683115902,0.05906674327866556,0.44024891571275043,0.659756835070465,ok
roa,692,16,-0.0003307763258147793,0.012649346668637302,-0.02614967669712964,0.9791379543177133,ok
operating_income_growth_yoy,617,16,1.2710825861250357,1.8937258843264648,0.6712072727342571,0.5020884962365757,ok
